"x_sweep []","Freq [GHz]","dB(S(1,1)) []"
0.7,2.94,-7.85597130641267
0.7,2.945,-8.5288777775994
0.7,2.95,-9.28649485422241
0.7,2.955,-10.1459476877744
0.7,2.96,-11.130300657751
0.7,2.965,-12.2717977302957
0.7,2.97,-13.6176392658266
0.7,2.975,-15.2410578925525
0.7,2.98,-17.2645986458881
0.7,2.985,-19.9149521659887
0.7,2.99,-23.6664975003923
0.7,2.995,-29.4191076250964
0.7,3,-31.2408657087647
0.7,3.005,-25.0884243295151
0.7,3.01,-20.907558381529
0.7,3.015,-18.0446993368227
0.7,3.02,-15.9061724114963
0.7,3.025,-14.2162197587636
0.7,3.03,-12.8305904010003
0.7,3.035,-11.6651947765099
0.7,3.04,-10.6668413150964
0.7,3.045,-9.79972402817089
0.7,3.05,-9.03853912027537
0.7,3.055,-8.36469458219409
0.7,3.06,-7.76408885303505
0.7,3.065,-7.22574128505499
0.7,3.07,-6.74091144203803
0.7,3.075,-6.3025121900049
0.7,3.08,-5.90470637191602
0.7,3.085,-5.54262208545816
0.7,3.09,-5.21214682968748
0.7,3.095,-4.90977544822912
0.7,3.1,-4.63249560880211
0.7,3.105,-4.37770001602131
0.7,3.11,-4.1431180240115
0.7,3.115,-3.92676157313111
0.7,3.12,-3.72688187500331
0.7,3.125,-3.54193428517192
0.7,3.13,-3.37054950139227
0.7,3.135,-3.21150971396296
0.7,3.14,-3.06372868082802
0.7,3.145,-2.92623494908948
0.7,3.15,-2.79815762576976
0.7,3.155,-2.67871423419603
0.7,3.16,-2.5672002919513
0.7,3.165,-2.46298032144382
0.7,3.17,-2.36548006142722
0.7,3.175,-2.27417969196469
0.7,3.18,-2.18860791973218
0.7,3.185,-2.10833679762299
0.7,3.19,-2.03297717411959
0.7,3.195,-1.96217468513767
0.7,3.2,-1.89560621498618
0.7,3.205,-1.83297676445117
0.7,3.21,-1.7740166733434
0.7,3.215,-1.71847915256884
0.7,3.22,-1.66613808720725
0.7,3.225,-1.61678607746363
0.7,3.23,-1.57023268888783
0.7,3.235,-1.52630288708918
0.7,3.24,-1.48483563543139
0.7,3.245,-1.44568263697122
0.7,3.25,-1.40870720428639
0.7,3.255,-1.37378324288398
0.7,3.26,-1.34079433564593
0.7,3.265,-1.30963291729286
0.7,3.27,-1.28019952917187
0.7,3.275,-1.25240214582244
0.7,3.28,-1.22615556577732
0.7,3.285,-1.20138085992909
0.7,3.29,-1.17800487155905
0.7,3.295,-1.15595976279442
0.7,3.3,-1.13518260285062
0.7,3.305,-1.11561499393168
0.7,3.31,-1.09720273111995
0.7,3.315,-1.07989549298839
0.7,3.32,-1.06364656002621
0.7,3.325,-1.04841255828353
0.7,3.33,-1.03415322592216
0.7,3.335,-1.02083120060789
0.7,3.34,-1.00841182590258
0.7,3.345,-0.996862975012081
0.7,3.35,-0.986154890423863
0.7,3.355,-0.976260038127031
0.7,3.36,-0.967152975250726
0.7,3.365,-0.958810230085894
0.7,3.37,-0.951210193572442
0.7,3.375,-0.944333021439646
0.7,3.38,-0.93816054628481
0.7,3.385,-0.932676198963711
0.7,3.39,-0.927864938748411
0.7,3.395,-0.923713191783704
0.7,3.4,-0.920208797444451
0.7,3.405,-0.917340962262829
0.7,3.41,-0.91510022115747
0.7,3.415,-0.913478405757699
0.7,3.42,-0.912468619673888
0.7,3.425,-0.912065220623028
